,club_name,reference,number_of_footballers,total_value
0,Manchester City,/manchester-city/startseite/verein/281/saison_id/2020,24,€1.03bn
1,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2020,29,€1.01bn
2,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2020,25,€779.80m
3,Manchester United,/manchester-united/startseite/verein/985/saison_id/2020,30,€720.95m
4,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2020,26,€680.80m
5,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2020,26,€549.10m
6,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2020,25,€475.90m
7,Everton FC,/fc-everton/startseite/verein/29/saison_id/2020,23,€462.50m
8,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2020,24,€412.10m
9,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2020,24,€379.70m
10,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2020,23,€279.75m
11,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2020,28,€252.70m
12,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2020,24,€250.50m
13,Brighton &amp; Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2020,28,€248.60m
14,Fulham FC,/fc-fulham/startseite/verein/931/saison_id/2020,26,€223.10m
15,Leeds United,/leeds-united/startseite/verein/399/saison_id/2020,27,€214.65m
16,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2020,28,€203.30m
17,Sheffield United,/sheffield-united/startseite/verein/350/saison_id/2020,26,€152.80m
18,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2020,23,€130.25m
19,West Bromwich Albion,/west-bromwich-albion/startseite/verein/984/saison_id/2020,27,€123.75m
